EventName,EventType,EventSource,EventId,EventBusinessKey,EventDate,EventDateTimestamp,EventDetectionDate,EventDetectionDateTimestamp,EventPublishingDate,EventPublishingDateTimestamp,EventIndex,EventBatchCount,EventTarget,EventOwner,ANLAGE,ANLAGENART,BEREICH,BESCHREIBUNG,FELDBEZ,FELDBEZZUGANG,FELDBEZABGANG,ERPWERK,ERPWORKCENTERID,ERPANLAGE,KZPROGRAMMIERT,SCHICHT,KZSCHICHTAKTIV,SIVCONFIGID,KURZBEZ,NUTZGRADBASIS,NUTZGRADVERFUEGBAR,NUTZGRADNACHARBEIT,CAPACITY_BALANCE,SHIFT_DURATION,CAPACITY_GRID,PERFORMANCE_RATE,PERFORMANCE,ALGORITHM,RM_BALANCE,DISPLAY_MODE,OBJECTS_DIVIDABLE,CAMPAIGN_INTERVAL_BACKWARD,CAMPAIGN_INTERVAL_FORWARD,SORT_INTERVAL_BACKWARD,SORT_INTERVAL_FORWARD,MAXTRANSITIONTIME,MIDTRANSITIONTIME,MINTRANSITIONTIME,PRODUCTIONFACTOR,SPLITTBUILDMODE,DYNMATCHABLE,DYNMINWEIGHT,KZ_APS,ANLAGENSTATUS,ANZTAZUGANG,ANZTAABGANG,ANZTAVORLAGE,VORLAGERZEITABDTEINSATZ,LZONEINLET,LZONEOUTLET,ERSTELLER,ERSTELLDATUM,AENDERER,AENDDATUM,ARCHIVDATUM,UPDATEZAEHLER,SYSTEM,CATEGORY,CRITMACHINE_FLAG,SENDPG2L2_FLAG,ERPCOSTCENTERID,FELDBEZDISPLACE,LOTNR_ID,EQUIPMENTTYPE,EQUIPMENTNAME,POS,L2_FLAG,REIHEBEZVOR,REIHEBEZNACH,REIHEBEZIN,CONTROLOPT,LOADAMOUNTMIN,LOADAMOUNTMAX,PLANNEDREMAININGAMOUNT,CRITMACHINE_PRIO,KZMIXHEAT,PLANT_NAME
anlage,record-update,tenmes,AADSetAAMAAAA2GAAb,ATTBVI01,2022-09-12 12:01:05.000Z,1663002065000,2022-09-12 12:01:05.000Z,1663002065000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBVI01,VIN,MB,Preliminary Inspection,ATTBVI01_LINE,ATTBVI01_ENTRY,ATTBVI01_EXIT,,,,Y,2228834,Y,,Preliminary Inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-07-16 10:55:43.0,TNS_CYCLIC:T1ALG,20220912070105,,3419,PRJALG,ATTBWM01,N,N,,ATTBVI01_ENTRY,,,,,Y,,,,NOINSPPLN,,,,,N,AT
anlage,record-update,tenmes,AADSetAAMAAAA2GAAW,ATTBPH01,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBPH01,PHO,MB,Phosphatizing #1,ATTBPH01_LINE,ATTBPH01_ENTRY,ATTBPH01_EXIT,,,,Y,2228810,Y,,Phosphatizing #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-07-16 10:55:43.0,TNS_CYCLIC:T1ALG,20220912070104,,3410,PRJALG,ATTBPR01,N,N,,ATTBPH01_ENTRY,,,,,N,,,,NOINSPPLN,,,,,N,AT
anlage,record-update,tenmes,AADSetAAMAAAA2HAAC,ATTBND03,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBND03,NDT,MB,Non Destructive Test #3,ATTBND03_LINE,ATTBND03_ENTRY,ATTBND03_EXIT,,,,Y,2228808,Y,,Non Destructive Test #3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-07-16 10:55:43.0,TNS_CYCLIC:T1ALG,20220912070104,,3423,PRJALG,ATTBFN03,N,N,,ATTBND03_ENTRY,,,,,Y,,,,NOINSPPLN,,,,,N,AT
anlage,record-update,tenmes,AADSetAAMAAAA2GAAH,ATTBHY02,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBHY02,HYD,MB,Hydrotesting #2,ATTBHY02_LINE,ATTBHY02_ENTRY,ATTBHY02_EXIT,,,,Y,2228794,Y,,Hydrotesting #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-07-16 10:55:42.0,TNS_CYCLIC:T1ALG,20220912070104,,3424,PRJALG,ATTBFN02,Y,N,,ATTBHY02_ENTRY,,,,,Y,,,,NOINSPPLN,,,,1,Y,AT
anlage,record-update,tenmes,AADSetAAMAAAA2GAAU,ATTBTH03,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBTH03,THR,MB,Premium Threading #1,ATTBTH03_LINE,ATTBTH03_ENTRY,ATTBTH03_EXIT,,,,Y,2228828,Y,,Premium Threading #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-07-16 10:55:43.0,TNS_CYCLIC:T1ALG,20220912070104,,3444,PRJALG,ATTBPR01,N,N,,ATTBTH03_ENTRY,,,,,N,,,,NOINSPPLN,,,,,N,AT
anlage,record-update,tenmes,AADSetAAMAAAA2GAAe,ATTBHY03,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBHY03,HYD,MB,Hydrotesting #3,ATTBHY03_LINE,ATTBHY03_ENTRY,ATTBHY03_EXIT,,,,Y,2228796,Y,,Hydrotesting #3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-07-16 10:55:43.0,TNS_CYCLIC:T1ALG,20220912070104,,3419,PRJALG,ATTBFN03,N,N,,ATTBHY03_ENTRY,,,,,Y,,,,NOINSPPLN,,,,,N,AT
anlage,record-update,tenmes,AADSetAAMAAAA2GAAM,ATTBRF01,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBRF01,RTF,MB,Heating,ATTBRF01_LINE,ATTBRF01_ENTRY,ATTBRF01_EXIT,,,,Y,2228816,Y,,Heating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-07-16 10:55:42.0,TNS_CYCLIC:T1ALG,20220912070104,,3420,PRJALG,ATTBHR01,N,N,,ATTBRF01_ENTRY,,,,,N,,,,NOINSPPLN,,,,,N,AT
anlage,record-update,tenmes,AADSetAAMAAAA2GAAX,ATTBPH02,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBPH02,PHO,MB,Phosphatizing #2,ATTBPH02_LINE,ATTBPH02_ENTRY,ATTBPH02_EXIT,,,,Y,2228812,Y,,Phosphatizing #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-07-16 10:55:43.0,TNS_CYCLIC:T1ALG,20220912070104,,3410,PRJALG,ATTBPR01,N,N,,ATTBPH02_ENTRY,,,,,N,,,,NOINSPPLN,,,,,N,AT
anlage,record-update,tenmes,AADSetAAMAAAA2GAAQ,ATTBTH02,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBTH02,THR,MB,Threading 2,ATTBTH02_LINE,ATTBTH02_ENTRY,ATTBTH02_EXIT,,,,Y,2228826,Y,,Threading 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-07-16 10:55:43.0,TNS_CYCLIC:T1ALG,20220912070104,,3424,PRJALG,ATTBFN02,N,N,,ATTBTH02_ENTRY,,,,,Y,,,,NOINSPPLN,,,,,Y,AT
anlage,record-update,tenmes,AADSetAAMAAAA2GAAK,ATTBND01,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBND01,NDT,MB,Tuboscope EMI,ATTBND01_LINE,ATTBND01_ENTRY,ATTBND01_EXIT,,,,Y,2228804,Y,,Tuboscope EMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-07-16 10:55:42.0,TNS_CYCLIC:T1ALG,20220912070104,,3419,PRJALG,ATTBND01,Y,N,,ATTBND01_ENTRY,,,,,N,,,,NOINSPPLN,,,,,N,AT
anlage,record-update,tenmes,AADSetAAMAAAA2GAAZ,ATTBSL01,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBSL01,SLI,SB,Slitter,ATTBSL01_LINE,ATTBSL01_ENTRY,ATTBSL01_EXIT,,,,Y,2228818,Y,,Slitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-07-16 10:55:43.0,TNS_CYCLIC:T1ALG,20220912070104,,3419,PRJALG,ATTBSL01,Y,N,,ATTBSL01_ENTRY,,,,,N,,,,NOINSPPLN,,,,,N,AT
