PO_NO,PO_GROUP_NO
224001263,224008371
102251293,
102376740,
103538003,
103976025,
104413789,
104451345,
107806728,
108277539,
108547212,
109343918,
110307261,
110395843,
111835807,
112693493,
112769076,
112987175,
114717171,
114926077,
115422229,
118990532,
119717342,
122086440,
122692257,
125079377,
129119061,
131358891,
131647713,
131882420,
132484387,
132961891,
135613277,
136326488,
136559780,
136637644,
140451110,
141820552,
144248688,
145157379,
145313992,
146698292,
146772538,
147421130,
153483498,
154313931,
155002384,
155005617,
155129584,
155150600,
155419854,
155726272,
156247802,
156877287,
157972645,
159426949,
159592515,
159966223,
160270041,
160336500,
160365335,
162469107,
163631825,
164636643,
165152356,
168848532,
173402567,
173881633,
174369077,
176003253,
176080204,
176776468,
177333967,
177556617,
177569455,
177786431,177786431
178215466,178215466
178385911,
178435019,
178523537,
178623155,178623155
178690298,
178912330,178912330
179449224,
180157471,
180649744,
180939374,
181140852,
181239625,
181828903,
183651853,183651853
183693153,
183877739,183873580
184441558,
184760964,
184918106,
185429891,
185439813,
185763600,
185802674,
185905415,185903767
185936837,
186263431,
186435113,
186480638,
186774565,186781192
186805366,
187864446,
188366623,188362575
188456818,
188573723,188564965
189082600,
189096127,189091245
189240553,
189345521,
189507962,189503960
189984656,189984656
190008290,
190053777,
190153162,
190224969,
190255328,190255328
190489168,
190595148,
190799391,
190859338,190855843
191608439,191604182
192051353,
192228097,
192360987,
192398260,
192525293,
192633767,
192918178,
192965589,
193439566,
193518101,
193800306,
194444626,194440078
194514076,
194908906,
194929258,
194932369,
195374591,195368507
195591524,
195882005,
195899211,
196289112,
196931874,
197000211,
197391526,
198219867,198218101
198600598,
198916545,
200088372,
200136960,
200207644,
200213746,
200336546,200327347
200604840,
200704349,
201123027,201119105
201336713,
201634823,
201714467,201714467
201798259,
202376060,202371827
202423140,
202938558,
202947198,202951582
203059634,
203598770,
204355895,
204404288,
204408974,204404555
204692032,
205548424,
205687572,
205916409,
206003585,206008724
206013966,206008724
206062821,206058560
206529877,
206641098,206633215
207043334,
207574906,207572193
207776440,207776440
207927496,
208343030,
208974019,208969434
209101139,209101139
209353256,
210119728,
210119731,
210454312,
210706003,
211100827,211100827
211100829,
211628444,211624327
213552076,
213592608,
213827351,
213856878,
214277509,214277509
215004192,
215128561,
215132573,
215358404,215353511
215401746,
215558585,
216026444,
216089091,
84123786,
84181102,
84359746,
84411154,
84627991,
86556766,
86559072,
87917541,
88405550,
89564300,
91251338,
92341511,
96696766,
96712809,
96714655,
96953850,
96993435,
99760966,
217129086,
217513155,217518161
217528162,
217786618,
218089716,218085329
219230978,
219718155,
220956470,
221447206,221429365
221688050,
222034848,
222223929,
229218378,
232146836,
232239591,
223357987,
224758677,
225151053,225146890
232027427,
232088909,
232243190,232239590
100789941,
101178090,
101248006,
102178829,
102202907,
102239274,
106443408,
107281541,
108327918,
110568135,
110718289,
112103405,
116806377,
119754909,
119806986,
121420447,
122582033,
123846766,
123925595,
124221349,
125244388,
125458572,
126265571,
126711220,
126753932,
127380020,
128232123,
129537605,
129829577,
131005223,
131963453,
133263012,
133290642,
133394092,
133494893,
135400349,
136624107,
136705189,
136871337,
136902761,
137109837,
140253281,
140611637,
140764474,
144176331,
144399924,
144661179,
145193308,
146551731,
147537321,
148377080,
154508637,
155121825,
156887060,
157331191,
157964723,
159143297,
159935045,
160338612,
160454683,
161622107,
161779254,
162292994,
162930124,
163128349,
168936674,
170177229,
171137380,
171890752,
172386646,
172470171,
172807186,
173442816,
173443242,
173891818,
173911456,
173988657,
175965353,
176193841,
176256647,
176392299,
176556668,
176861689,
177282663,
177547249,
177690329,
178958008,
179404567,
180072232,
180090903,
180252449,
180362805,180362805
180744004,
180770982,180770982
180807472,180807472
180846186,
180848486,
180886349,
180923213,
180952581,
181381284,
181927344,181927344
181992967,
183283779,183283779
183342581,183342581
183906898,
184147737,
184233522,
184277020,
185181165,
185937700,
186263434,
186851926,
187128952,
187208616,
187334338,
187654251,
187737957,187737957
188184917,188180891
188442040,
188481120,
188754695,
188921463,
189002589,
189666487,
189857176,
189893751,
189912681,
190181101,
190922676,
191180624,191185583
191328814,
191380880,
192200605,
192288035,192283495
192305945,
192650115,
192711775,
192840977,
192969419,
193185969,
193292293,
194337396,
194427037,
195278402,195286374
195900774,195900774
195964141,
196068435,196072930
196642986,
197216840,
197508554,197508554
197551311,
197646586,197641396
197802488,
197848602,197839341
198324367,
198568636,
198604500,
199246912,199251101
199288106,199291738
200083853,
200141590,200136959
201055276,
201283421,
201350513,201358698
201395177,
201406222,
201699412,
202671526,202671526
202855487,202847299
202929996,
203214543,
203571841,203578999
203835558,
203972644,203968131
204098399,204094708
204321736,204325204
205320660,
205463092,
205486821,
205588721,
205756578,
206127299,206119208
206274475,
206595413,
206748489,
207050558,
207057682,207057682
207077885,
207169906,
207411597,
207722481,
207970215,
208020719,
208475782,
208822552,208831674
209368817,
209532492,
209707824,
209886005,209881930
211007012,
211071080,211071080
211636523,211646197
211776121,211767429
212250653,212241574
213118436,
213458326,213454299
213474348,
213929890,
214184046,
215061664,
215338827,
215338828,
215750274,215746101
215847411,
216030617,
216055381,
84461987,
88788787,
92041662,
92829886,
95450539,
98626194,
99153830,
102178828,
102919337,
103524889,
104281536,
106271008,
108758090,
108766666,
109135401,
109262645,
109326627,
109929959,
110558569,
110580554,
111282932,
111565925,
111984435,
112452302,
115321433,
117443551,
119163473,
119626819,
119672944,
121184334,
121325810,
122903723,
123105286,
123816597,
125531208,
127056808,
127518783,
129229737,
131011052,
131754355,
132298824,
132439083,
132853476,
132864970,
133023756,
133283804,
135649479,
135957975,
136411429,
136620671,
139516095,
140265474,
140336166,
140565595,
140940564,
141277069,
144357262,
144371413,
147439309,
147596023,
147762550,
148294235,
153409426,
153641058,
153972313,
155227924,
156096132,
156355981,
157561608,
158259169,
158482487,
158748723,
159483686,
159544477,
160422374,
161275655,
161914865,
162227697,
162869547,
164478966,
170763887,
171462040,
172175026,
172467091,
172640031,
172862955,
173184708,
173574147,
173993081,
174362494,
174644602,
175958533,
177128618,
177591101,
177592465,
177850803,
178219117,
178319925,
178396421,178396421
178745749,
179771453,
180144718,
180229649,180229649
180386644,
180935555,
181180040,
181373675,181373675
181501042,
183530322,
184005170,
184134388,
184179550,184179550
184446130,
184781151,
185327371,
185547983,
186282845,186282845
186350713,
186405484,
186445790,186445790
186477819,
186564803,
186675473,186679696
186825691,
186887132,
187144999,
187250955,
187334339,
187501035,
187750369,187750369
188030042,188022294
188895922,188891855
188998266,188993910
189170519,189165534
189511975,189515983
189821248,
189990358,
190002397,
190094119,190088185
190919181,
190929490,
190979072,
191066495,191070530
191480052,
191641798,
191658353,191654390
192069571,192071272
192536156,
192588410,
192596598,
192832612,192828475
192954492,192946278
192999083,
193034691,
193439567,
193874647,
193887382,
194055694,
194179850,
194181245,194177143
194312988,194305742
194574107,
194753598,194753598
194894856,
195614996,
196292339,
196397206,
196404487,
196497475,
196546929,
196633724,196633724
196847180,196836849
196949607,
196985728,
197163528,
197203793,
197424456,
197560250,
197747647,
197834670,197839341
198007261,197998710
198518741,198509718
198857647,
199276114,
199398491,
199410544,
199514231,
199659837,
200027612,
200195897,
200327348,
200345140,200349126
200426248,200417296
201786828,
202146235,
202250785,202246655
202727882,
203264096,
203268232,203278305
203442238,
203446131,203438289
203624948,
203697009,203701168
203760619,
203789259,203796597
204008863,
204369190,
204728262,204732491
204986388,
205072682,
205584469,205584469
205697692,
205723322,
205849630,
206148402,
206149541,
206616975,
206908830,
207001694,
207223992,
207307286,207316147
207729816,
207852187,
208011930,
208376714,208381392
209361098,209368815
209827707,209832368
210139892,
210144935,210139888
210899986,
211146858,
211155403,211159680
211421273,
211511040,
212223617,
212277753,212323438
213084170,
213170897,
213482569,
213959074,
214536492,
214540563,
215309393,
215338830,
215563711,
216084974,
216231118,
83828772,
84303471,
84421317,
87161542,
87738517,
92015439,
93144942,
94023702,
96304067,
97417691,
219827306,219827306
220867551,
221070012,221074962
221496582,
221500878,221505124
221952875,
222120153,
230931657,
231575003,
230949334,
225064845,225064845
101701279,
102926470,
103033573,
104555863,
107253109,
108829156,
109417274,
109835401,
113038343,
114465561,
114853359,
115276621,
115497910,
117330836,
119424899,
119940045,
121185217,
124930716,
126753416,
126980702,
129829574,
130509131,
131330216,
131593426,
132070534,
135038168,
136985342,
137042065,
140032477,
140926508,
141669454,
141912733,
142843947,
145091623,
146551272,
147301786,
148034573,
152340002,
153785260,
154257040,
154274250,
154772182,
154994947,
155354682,
155657013,
155772647,
157746905,
159235116,
160248262,
160266742,
164639542,
165155009,
165182070,
165579364,
166615741,
167146556,
168155054,
169959940,
169965524,
173814708,
174008403,
175775223,
175999598,
176990319,
177461573,
177530148,
177561375,
177571645,177571645
177642818,177642818
177874742,
178205546,
178460958,178460958
178463680,
179055548,
179231158,
179392071,
179864280,
180002099,
181152721,181152721
183429054,
183682130,
184024783,
185610912,
185946915,185940059
185976095,
186024145,
186107046,
186571250,
186760111,
186856153,
186878996,
186964999,
187423577,
187427663,
187442534,
188042842,
188560602,188556235
188837846,
189078246,
189155577,
189333250,
189441543,189437312
189473008,
189582830,
189698963,
189816276,
189903759,189899316
189917120,
190571599,
190589268,
190800517,
190940474,
191037469,191032708
191046595,
191172009,191172009
191372323,
191891050,191899406
191907744,191899406
192047320,
192072972,
192080227,
192267064,
192950401,
193101880,193092002
193398311,
193719816,
194480302,
194530065,
194586309,
194706803,194710881
194928947,
194998647,
195219598,195219598
195381516,
195508437,
195863250,
197018957,
197133328,197143829
197215362,
197599624,
197919634,
198389623,
198623956,
198779305,
199065189,199070467
199433587,
199841013,199848933
83875498,
83983371,
84364195,
84692701,
87928032,
94559097,
95960488,
96092913,
96271559,
96785458,
99423938,
99960279,
232292717,232292717
230328916,230321793
230684947,
230780188,
231444812,
231575002,231575002
231604511,231596048
229689851,229694198
229850915,
229881023,229884540
231977943,231980419
232024959,
232042286,
232085287,
230099145,230103471
102166673,
107652666,
109064342,
109308247,
110032295,
110928372,
111668980,
113672795,
113842261,
115093535,
115847450,
117780777,
119648384,
122056659,
122707815,
122986698,
124584644,
125905917,
126869163,
127367016,
128231877,
129077495,
129323400,
129766095,
130994059,
132058645,
132402872,
133335489,
133337110,
135263724,
135855241,
135885187,
136647906,
136682083,
139969441,
140628718,
141357597,
142215984,
143685800,
145145939,
146711084,
147447891,
148046774,
151413555,
154059688,
155815082,
156065712,
156649926,
157626615,
157822409,
158236692,
159042449,
160643882,
160845814,
161043837,
162910594,
164576605,
165295664,
165854001,
169555304,
172350651,
174537513,
176237090,
176397043,
176414314,
176674193,
176835842,
177598762,177598762
177786182,
177827351,
178585022,
179702172,
179749925,
180225396,180225396
180269561,
180775246,
180812030,180807472
180894456,
181328483,
181480156,
181812121,
182687841,
182768580,
183270223,183261173
183504756,
184015500,
184299030,
184643251,
184735842,184740028
186029470,
186198537,
186518685,186518685
186760107,186753651
186872022,
187300633,
187531188,
187666541,
187847061,
188018228,
188100597,188100597
189094207,
189200453,
189650211,189640232
189660941,189655198
189724889,
189742501,189742501
190020093,190014191
190323900,
190603910,
190743645,
190939338,
191429907,
191442717,
191748837,
191950757,
192010312,
192216400,
192222524,192222524
192654549,
192671124,
192687379,
192774650,
193069743,
193160506,193156392
193372191,
193381799,193373585
193551071,193551071
193716183,193719815
193751410,
194114599,194114599
194272808,
194331263,
